date,orderId,total,shipping,subtotal,shipNameFirst,shipNameLast,shipAddress1,		shipAddress2,shipCity,shipState,shipZip,billNameFirst,billNameLast,billAddress1,billAddress2,		billCity,billState,billZip
1970-01-01 06:49:51,12000000001,88.25,4.69,83.56,Bryant,Murphy,7013 Sniezek Blvd,,Monticello,MN,55587,Bryant,Murphy,7013 Sniezek Blvd,,Monticello,MN,55587
1970-01-01 13:30:54,12000000002,153.09,4.47,148.62,James,Santiago,658 Hill St,Ste. A21,Bassett,WI,53101,James,Santiago,658 Hill St,Ste. A21,Bassett,WI,53101
1970-01-02 15:23:52,12000000003,41.43,0.47,40.96,Jay,Johnson,5320 Risenhoover St,,Waco,TX,76703,Jay,Johnson,5320 Risenhoover St,,Waco,TX,76703
1970-01-03 13:22:50,12000000004,124.31,4.71,119.6,Walter,Williams,3990 Breitenstein Rd,D-33,Alakanuk,AK,99554,Walter,Williams,3990 Breitenstein Rd,D-33,Alakanuk,AK,99554
1970-01-04 03:19:48,12000000005,144.1,4.12,139.98,Scott,Ronca,9482 Thompson Rd,,Nobleton,FL,34661,Scott,Ronca,9482 Thompson Rd,,Nobleton,FL,34661
1970-01-04 17:26:06,12000000006,104.54,4.18,100.36,Linda,Mcintyre,3425 Chavis Ave,,Silver City,MS,39166,Linda,Mcintyre,3425 Chavis Ave,,Silver City,MS,39166
1970-01-05 00:45:50,12000000007,170.05,3.45,166.6,Sylvester,Duncan,4099 Morrical Rd,,Clanton,AL,35026,Sylvester,Duncan,4099 Morrical Rd,,Clanton,AL,35026
1970-01-05 11:39:00,12000000008,68.46,4.85,63.61,Armand,Kennedy,6928 Dean St,,Falls Church,VA,22044,Armand,Kennedy,6928 Dean St,,Falls Church,VA,22044
1970-01-05 14:57:03,12000000009,81.29,2.43,78.86,Virginia,Thomas,9788 Chamberlain St,,Fort Belvoir,VA,22060,Virginia,Thomas,9788 Chamberlain St,,Fort Belvoir,VA,22060
1970-01-05 23:01:10,12000000010,108.84,1.59,107.25,Susan,Barnhart,4243 Koehler Ct,,Rochelle,IL,61068,Susan,Barnhart,4243 Koehler Ct,,Rochelle,IL,61068
1970-01-07 02:31:26,12000000011,82.69,1.03,81.66,James,Carr,9125 Reynolds St,,Billingsley,AL,36006,James,Carr,9125 Reynolds St,,Billingsley,AL,36006
1970-01-07 03:04:11,12000000012,62.82,2.69,60.13,Madaline,Massey,9992 Gibbs Ct,,Rochester,MI,48306,Madaline,Massey,9992 Gibbs Ct,,Rochester,MI,48306
1970-01-07 08:29:32,12000000013,100.11,0.29,99.82,George,Glenn,9765 Sinclair St,,Lanett,AL,36383,George,Glenn,9765 Sinclair St,,Lanett,AL,36383
1970-01-08 10:36:14,12000000014,108.22,3.52,104.7,Margaret,Wynn,8794 Segars St,,Croydon,PA,19021,Margaret,Wynn,8794 Segars St,,Croydon,PA,19021
1970-01-08 23:22:35,12000000015,191.18,2.31,188.87,Marcus,Watanabe,5570 Henderson Rd,,Boise,ID,83723,Marcus,Watanabe,5570 Henderson Rd,,Boise,ID,83723
1970-01-09 21:58:49,12000000016,131.58,1.51,130.07,Mitchell,Mckinney,3226 Bowers Rd,,Medina,NY,14103,Mitchell,Mckinney,3226 Bowers Rd,,Medina,NY,14103
1970-01-10 07:07:07,12000000017,98.84,0.44,98.4,Shirley,Silliman,3539 Suttles Ave,,Cleveland,OH,44124,Shirley,Silliman,3539 Suttles Ave,,Cleveland,OH,44124
1970-01-10 18:16:38,12000000018,85.78,1.83,83.95,Kimberly,Schmidt,3622 Santiago Blvd,,Marfa,TX,79843,Kimberly,Schmidt,3622 Santiago Blvd,,Marfa,TX,79843
1970-01-11 16:23:10,12000000019,147.64,4.37,143.27,Jeffry,Miller,4893 Oconnor Rd,,Upatoi,GA,31829,Jeffry,Miller,4893 Oconnor Rd,,Upatoi,GA,31829
1970-01-12 13:49:50,12000000020,136.78,0.79,135.99,Terry,Fager,4406 Richard Ave,No. 32,Haubstadt,IN,47639,Terry,Fager,4406 Richard Ave,No. 32,Haubstadt,IN,47639
1970-01-13 01:47:16,12000000021,74.87,2.91,71.96,Richard,Acosta,6249 Ruiz Blvd,Ste. A49,New York,NY,10125,Richard,Acosta,6249 Ruiz Blvd,Ste. A49,New York,NY,10125
1970-01-13 06:59:59,12000000022,30.14,1.65,28.49,Kenneth,Peel,5045 Cruse St,,Orchard Hill,GA,30266,Kenneth,Peel,5045 Cruse St,,Orchard Hill,GA,30266
1970-01-14 03:07:58,12000000023,168.8,3.63,165.17,Nichole,Cloke,8095 Wade Ave,,Olema,CA,94950,Nichole,Cloke,8095 Wade Ave,,Olema,CA,94950
1970-01-14 21:23:16,12000000024,162.03,4.79,157.24,Reginald,Mckinney,968 Allred,C-9,Amarillo,TX,79119,Reginald,Mckinney,968 Allred,C-9,Amarillo,TX,79119
1970-01-16 00:40:36,12000000025,100.62,0.31,100.31,Angela,Cooper,9678 Valdez Rd,,New York,NY,10258,Angela,Cooper,9678 Valdez Rd,,New York,NY,10258
1970-01-16 13:46:19,12000000026,188.14,1.25,186.89,Laura,Adamitis,411 Ashton St,,Austin,MN,55912,Christina,Diaz,8576 Carnes Blvd,,Powersite,MO,65731
1970-01-17 14:29:46,12000000027,47.2,2.2,45.0,Sheila,Carr,810 Koch St,,Rolette,ND,58366,Sheila,Carr,810 Koch St,,Rolette,ND,58366
